gene_id,gene_symbol,GSM9181254,GSM9181255,GSM9181256,GSM9181257,GSM9181258,GSM9181259,GSM9181260,GSM9181261,GSM9181262,GSM9181263,GSM9181264,GSM9181265,GSM9181266,GSM9181267,GSM9181268,GSM9181269,GSM9181270,GSM9181271
ENSG00000196581,AJAP1,0.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
ENSG00000196584,XRCC2,285.395,288.053,157.414,193.732,325.958,387.836,218.947,221.631,318.89,431.712,444.022,406.255,186.527,340.724,412.492,526.337,366.063,1015.698
ENSG00000196586,MYO6,703.096,674.411,723.785,573.001,790.181,1405.149,792.047,609.086,856.003,633.09,600.87,599.067,1256.077,2717.675,1471.331,1625.261,979.562,1823.337
ENSG00000196588,MKL1,1063.831,1518.798,934.005,1003.011,1373.066,1813.768,1014.116,503.149,1335.993,653.038,744.503,806.817,1094.008,2049.705,1966.91,1469.271,806.855,1658.467
ENSG00000196589,MBD3L2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196591,HDAC2,3762.393,3914.524,3193.411,3648.688,5566.547,7474.556,2943.397,2062.762,4598.139,4309.926,4435.955,4683.357,3283.185,6815.593,5637.231,8645.062,5351.018,9237.628
ENSG00000196593,ANKRD20A19P,8.0,15.0,6.0,8.0,16.0,5.0,9.0,3.0,2.0,13.0,11.0,12.0,8.0,16.0,10.0,10.001,15.999,9.0
ENSG00000196597,ZNF782,46.012,61.657,40.282,60.224,67.995,98.221,60.155,34.252,59.716,43.266,43.391,62.458,45.29,114.25,97.344,143.859,82.169,142.79
ENSG00000196600,SLC22A25,2.0,1.0,0.0,2.284,3.0,2.0,2.551,0.0,2.0,2.0,1.88,1.0,0.0,2.0,4.0,0.0,7.77,3.001
ENSG00000196604,POTEF,8.0,7.999,9.091,50.888,86.584,32.223,23.355,6.78,14.687,0.0,0.0,0.0,21.5,38.249,35.64,66.885,33.142,108.822
ENSG00000196605,ZNF846,187.0,195.0,174.833,199.0,262.001,372.001,166.396,141.001,265.0,159.0,102.999,139.025,164.999,357.654,353.81,239.002,147.065,254.007
ENSG00000196610,HLA-DQB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196611,MMP1,223.0,198.003,86.0,177.0,253.0,52.117,124.0,61.0,342.586,724.119,678.641,725.128,29.0,52.0,73.017,83.0,60.0,56.044
ENSG00000196616,ADH1B,2.0,6.0,2.0,8.0,4.0,3.989,2.0,5.328,5.095,2.004,2.0,5.322,3.0,4.509,7.348,4.576,5.499,8.0
ENSG00000196620,UGT2B15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196628,TCF4,1141.702,1128.876,739.245,1187.616,1722.052,1302.986,695.065,645.683,892.845,1149.15,1125.925,1168.133,562.458,1238.389,1102.262,1467.609,874.039,2019.629
ENSG00000196632,WNK3,186.385,221.121,222.482,205.071,374.23,463.013,227.32,169.356,375.644,235.993,268.075,259.0,300.487,652.629,517.471,576.097,373.136,667.592
ENSG00000196634,LUADT1,8.997,7.346,4.503,6.899,10.759,12.267,8.728,8.376,21.597,7.226,9.26,7.976,18.888,26.739,27.613,15.729,15.866,27.839
ENSG00000196636,SDHAF3,288.0,315.072,235.1,260.286,439.808,515.042,176.0,125.0,256.0,267.0,239.16,277.001,201.999,520.063,387.0,486.942,327.003,531.009
ENSG00000196639,HRH1,5.0,4.0,1.0,2.0,5.002,4.0,2.0,0.0,18.015,11.0,12.0,12.851,0.0,6.0,6.864,0.0,0.0,0.0
ENSG00000196642,RABL6,4083.943,5044.847,3584.153,3605.276,5984.618,8215.075,4790.082,2859.984,5480.902,4783.144,4416.663,4711.951,3944.111,7796.666,7435.6,7514.959,4956.363,9575.958
ENSG00000196646,ZNF136,60.567,115.039,82.0,87.213,132.48,158.989,53.304,43.215,145.509,122.0,143.398,113.899,89.016,155.182,172.116,169.915,151.101,231.8
ENSG00000196652,ZKSCAN5,479.0,512.317,455.999,510.047,711.652,855.691,414.07,318.651,644.0,455.021,447.044,545.0,477.025,905.919,785.469,682.618,475.263,1003.0
ENSG00000196653,ZNF502,105.0,113.072,74.0,125.233,150.0,174.004,67.0,56.0,91.0,123.0,100.0,110.0,60.0,112.053,107.0,124.0,78.004,178.0
ENSG00000196655,TRAPPC4,952.549,1120.224,909.89,914.191,1363.696,1972.709,538.258,297.283,807.987,697.266,674.815,733.094,603.673,1348.97,1074.402,1198.292,760.007,1279.389
