category,sample_id,group,paired_patient_id,cell_line,replicate,pathway_score,available_gene_count,requested_gene_count,available_genes
mitochondrial translation / mtDNA maintenance,GSM9181269,control,3,FA3ic,1,0.9100030478604854,5,5,MT-TK;TFAM;POLG;POLG2;TWNK
mitochondrial translation / mtDNA maintenance,GSM9181270,control,3,FA3ic,2,-0.17049008517478823,5,5,MT-TK;TFAM;POLG;POLG2;TWNK
mitochondrial translation / mtDNA maintenance,GSM9181271,control,3,FA3ic,3,1.2610632796233363,5,5,MT-TK;TFAM;POLG;POLG2;TWNK
mitochondrial translation / mtDNA maintenance,GSM9181266,disease,3,FA3,1,-0.6116299019717957,5,5,MT-TK;TFAM;POLG;POLG2;TWNK
mitochondrial translation / mtDNA maintenance,GSM9181267,disease,3,FA3,2,1.012472165721064,5,5,MT-TK;TFAM;POLG;POLG2;TWNK
mitochondrial translation / mtDNA maintenance,GSM9181268,disease,3,FA3,3,0.853184252668852,5,5,MT-TK;TFAM;POLG;POLG2;TWNK
mitophagy,GSM9181257,control,1,FA1ic,1,-0.14762091870485616,4,4,PINK1;PRKN;BNIP3;BNIP3L
mitophagy,GSM9181258,control,1,FA1ic,2,0.9437840656785375,4,4,PINK1;PRKN;BNIP3;BNIP3L
mitophagy,GSM9181259,control,1,FA1ic,3,1.5973012480199311,4,4,PINK1;PRKN;BNIP3;BNIP3L
mitophagy,GSM9181254,disease,1,FA1,1,-0.1434677277523416,4,4,PINK1;PRKN;BNIP3;BNIP3L
mitophagy,GSM9181255,disease,1,FA1,2,0.14368531113357572,4,4,PINK1;PRKN;BNIP3;BNIP3L
mitophagy,GSM9181256,disease,1,FA1,3,-0.4388778002826245,4,4,PINK1;PRKN;BNIP3;BNIP3L
mitophagy,GSM9181263,control,2,FA2ic,1,-0.5028979933380064,4,4,PINK1;PRKN;BNIP3;BNIP3L
mitophagy,GSM9181264,control,2,FA2ic,2,-0.5338834408964946,4,4,PINK1;PRKN;BNIP3;BNIP3L
mitophagy,GSM9181265,control,2,FA2ic,3,-0.32086270624843277,4,4,PINK1;PRKN;BNIP3;BNIP3L
mitophagy,GSM9181260,disease,2,FA2,1,-1.1875553143926405,4,4,PINK1;PRKN;BNIP3;BNIP3L
mitophagy,GSM9181261,disease,2,FA2,2,-1.9140270451943082,4,4,PINK1;PRKN;BNIP3;BNIP3L
mitophagy,GSM9181262,disease,2,FA2,3,-0.27958064341644323,4,4,PINK1;PRKN;BNIP3;BNIP3L
mitophagy,GSM9181269,control,3,FA3ic,1,0.9893889625330352,4,4,PINK1;PRKN;BNIP3;BNIP3L
mitophagy,GSM9181270,control,3,FA3ic,2,-0.20630072643079655,4,4,PINK1;PRKN;BNIP3;BNIP3L
mitophagy,GSM9181271,control,3,FA3ic,3,1.3304960549997713,4,4,PINK1;PRKN;BNIP3;BNIP3L
mitophagy,GSM9181266,disease,3,FA3,1,-0.9429213696347265,4,4,PINK1;PRKN;BNIP3;BNIP3L
mitophagy,GSM9181267,disease,3,FA3,2,0.823746117245693,4,4,PINK1;PRKN;BNIP3;BNIP3L
mitophagy,GSM9181268,disease,3,FA3,3,0.7895939266811272,4,4,PINK1;PRKN;BNIP3;BNIP3L
mtDNA-encoded OXPHOS genes,GSM9181257,control,1,FA1ic,1,-0.6448117566507416,13,13,MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ATP6;MT-ATP8
mtDNA-encoded OXPHOS genes,GSM9181258,control,1,FA1ic,2,0.6572615345960179,13,13,MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ATP6;MT-ATP8
mtDNA-encoded OXPHOS genes,GSM9181259,control,1,FA1ic,3,1.8783009380150055,13,13,MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ATP6;MT-ATP8
mtDNA-encoded OXPHOS genes,GSM9181254,disease,1,FA1,1,-0.8416517147665957,13,13,MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ATP6;MT-ATP8
mtDNA-encoded OXPHOS genes,GSM9181255,disease,1,FA1,2,-0.6626585454265063,13,13,MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ATP6;MT-ATP8
mtDNA-encoded OXPHOS genes,GSM9181256,disease,1,FA1,3,-0.938131669599919,13,13,MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ATP6;MT-ATP8
mtDNA-encoded OXPHOS genes,GSM9181263,control,2,FA2ic,1,0.9762560001745939,13,13,MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ATP6;MT-ATP8
mtDNA-encoded OXPHOS genes,GSM9181264,control,2,FA2ic,2,0.14872806753501086,13,13,MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ATP6;MT-ATP8
mtDNA-encoded OXPHOS genes,GSM9181265,control,2,FA2ic,3,0.2817487134023873,13,13,MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ATP6;MT-ATP8
mtDNA-encoded OXPHOS genes,GSM9181260,disease,2,FA2,1,-0.3167673243928805,13,13,MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ATP6;MT-ATP8
mtDNA-encoded OXPHOS genes,GSM9181261,disease,2,FA2,2,-0.9433733826427648,13,13,MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ATP6;MT-ATP8
mtDNA-encoded OXPHOS genes,GSM9181262,disease,2,FA2,3,0.6455740247558348,13,13,MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ATP6;MT-ATP8
mtDNA-encoded OXPHOS genes,GSM9181269,control,3,FA3ic,1,0.32056250331483876,13,13,MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ATP6;MT-ATP8
