gene_id,gene_symbol,mean_log2_cpm_disease,mean_log2_cpm_control,mean_log2_cpm,log2_fold_change,p_value,n_pairs,method,comparison,padj,abs_log2_fold_change
ENSG00000258405,ZNF578,3.4896310358796114,3.2625474026820913,3.376089219280851,0.22708363319752012,0.3145843331348055,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.682197712110293,0.22708363319752012
ENSG00000086200,IPO11,5.44970639519952,5.52119101966797,5.485448707433746,-0.07148462446845016,0.31462298641446623,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.682197712110293,0.07148462446845016
ENSG00000175334,BANF1,6.619243079436636,6.736265872687199,6.677754476061918,-0.11702279325056342,0.31465712603626983,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.682197712110293,0.11702279325056342
ENSG00000164051,CCDC51,4.3870817393985755,4.132101022586106,4.259591380992341,0.2549807168124696,0.3147004997129928,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.682197712110293,0.2549807168124696
ENSG00000118260,CREB1,5.773754838158737,5.869997112972139,5.821875975565438,-0.09624227481340153,0.3148550513411415,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.682197712110293,0.09624227481340153
ENSG00000077713,SLC25A43,2.5674329366518003,2.1282455973927097,2.347839267022255,0.4391873392590906,0.31486785143233686,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.682197712110293,0.4391873392590906
ENSG00000270504,AL391422.3,3.2009027635320653,2.639557416981912,2.920230090256988,0.5613453465501532,0.31492949639282874,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.682197712110293,0.5613453465501532
ENSG00000110619,CARS,3.2259969505421346,2.935166494783427,3.0805817226627803,0.2908304557587078,0.31502964440056114,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.682197712110293,0.2908304557587078
ENSG00000011566,MAP4K3,6.2361177985068394,5.918337660019912,6.0772277292633765,0.31778013848692765,0.3150312406769585,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.682197712110293,0.31778013848692765
ENSG00000168434,COG7,4.042587922797147,3.996118114919863,4.019353018858506,0.046469807877284275,0.3150321397267461,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.682197712110293,0.046469807877284275
ENSG00000245522,AC026250.1,1.9696358689075293,1.6672828758835543,1.8184593723955416,0.302352993023975,0.31503661595199456,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.682197712110293,0.302352993023975
ENSG00000254486,LINC02547,0.9728799959732587,1.0724116553212033,1.022645825647231,-0.09953165934794461,0.31515008584994947,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.682197712110293,0.09953165934794461
ENSG00000118689,FOXO3,5.738458065770639,5.943111507662107,5.840784786716373,-0.20465344189146784,0.31516179599309846,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.682197712110293,0.20465344189146784
ENSG00000173545,ZNF622,6.220634708192985,5.887773452380331,6.054204080286657,0.332861255812654,0.31518838705634594,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.682197712110293,0.332861255812654
ENSG00000112309,B3GAT2,0.8935722313021389,1.680962822342415,1.287267526822277,-0.787390591040276,0.3151933714340815,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.682197712110293,0.787390591040276
ENSG00000228274,AL021707.2,2.2452369630962536,2.1412289545035956,2.1932329587999244,0.10400800859265802,0.3152506358636476,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.682197712110293,0.10400800859265802
ENSG00000162951,LRRTM1,1.656987395633366,0.8328112446557432,1.2448993201445546,0.8241761509776229,0.3153144587417498,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.682197712110293,0.8241761509776229
ENSG00000197050,ZNF420,3.1769472832600782,3.3030799745731456,3.240013628916611,-0.12613269131306737,0.3153383413917997,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.682197712110293,0.12613269131306737
ENSG00000250120,PCDHA10,3.913402452940073,3.3178599509459605,3.615631201943016,0.5955425019941125,0.31534702188939373,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.682197712110293,0.5955425019941125
ENSG00000004975,DVL2,5.687340734862361,5.771789486693575,5.729565110777968,-0.08444875183121425,0.3155412092457425,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6823330729296142,0.08444875183121425
